text,created_at,retweet_count,url
"RT @HanniTaiwan: [240720]🎵’青い珊瑚礁’ has entered Melon top100 realtime chart for the first time.

The song has risen from #828 to #118 on Melo…",2024-07-20T06:52:38.000Z,78,https://twitter.com/twitter/status/1814553989679337798
"RT @NewJeansSTRM: 🎉 @NewJeans_ADOR 슈퍼내추럴이 멜론 일간차트4위로 순위 피크를 기록했습니다.

#NewJeans #뉴진스 #Supernatural #RightNow
#슈퍼내추럴 #롸잇나우 #NewJeans_is_Every…",2024-07-20T06:52:38.000Z,94,https://twitter.com/twitter/status/1814553987384746427
"RT @madzzic: 하 오늘 꿈에서
뉴진사 새멤버로 데뷔하는데
안무도 하나도 모르고 진심 저 아줌마 뭐냐는 소리 들어서 너무 괴로웠음 심지어 연말무대에서 데뷔해가지고 인터넷 난리나고 민희진은 저거 쫓아내라고 소리지르고 뉴진스 멤버들이 나 불편해하…",2024-07-20T06:52:30.000Z,1696,https://twitter.com/twitter/status/1814553956875706782
"RT @newjeans_loop: 天ちゃん Supernatural 

#뉴진스 #NewJeans 
#櫻坂46 
#山﨑天 https://t.co/HY1HRFrdTQ",2024-07-20T06:52:30.000Z,754,https://twitter.com/twitter/status/1814553955654848823
"RT @NJchartsJP: NewJeansとフォートナイトが今年の12月からコラボを開始します！

#NewJeans #뉴진스 https://t.co/kIUzPJzbLZ",2024-07-20T06:52:18.000Z,482,https://twitter.com/twitter/status/1814553907290644974
"RT @newjeanswllpp: NewJeans ""Right Now"" #쇼음악중심 Wallpaper (4K) 

#NewJeans #뉴진스 @NewJeans_ADOR https://t.co/LObgZB0g1Y",2024-07-20T06:52:15.000Z,108,https://twitter.com/twitter/status/1814553892857753885
"RT @onlyhanni2k4: #뉴진스 #하니 #NewJeans #Hanni 
Actress/ radio presenter Choi Hwa Jung showed off the same look to Hanni when she performed Ao…",2024-07-20T06:52:14.000Z,177,https://twitter.com/twitter/status/1814553888038793438
RT @newjeans_loop: #뉴진스 #NewJeans #하니 #Hanni #ハニ #해린 #Haerin #ヘリン https://t.co/iB0FjA2b2X,2024-07-20T06:52:04.000Z,318,https://twitter.com/twitter/status/1814553847312101428
"2024 가요대전 썸머 택시팟 summer

인천공항 제2여객터미널 -&gt; 인스파이어 아레나

오후 2시쯤 출발할 예정입니다
여성분만 받아요!
https://t.co/ApkQ0169jr

제로베이스원 투바투 엔하이픈 엔시티 일이칠 위시 스트레이키즈 르세라핌 뉴진스 아일릿 엔믹스 크래비티 아이브",2024-07-20T06:51:54.000Z,0,https://twitter.com/twitter/status/1814553805679427726
"RT @madzzic: 하 오늘 꿈에서
뉴진사 새멤버로 데뷔하는데
안무도 하나도 모르고 진심 저 아줌마 뭐냐는 소리 들어서 너무 괴로웠음 심지어 연말무대에서 데뷔해가지고 인터넷 난리나고 민희진은 저거 쫓아내라고 소리지르고 뉴진스 멤버들이 나 불편해하…",2024-07-20T06:51:51.000Z,1696,https://twitter.com/twitter/status/1814553793511440775
